,Experiment_ID,Genome,antibody,antibody used,antibody name,antibody target,chromatin ip antibody,cell antibody,chip antibody target,chip antibody,chip_antibody,ip antibody
4427,srx003182,hg19,oct1,nan,nan,nan,nan,nan,nan,oct1,nan,nan
4428,srx003313,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4429,srx003314,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4430,srx003315,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4431,srx003316,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4432,srx003317,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4433,srx003318,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4434,srx003319,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4435,srx003320,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4436,srx003321,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4437,srx003322,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4438,srx003323,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4439,srx003324,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4440,srx003325,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4441,srx003794,hg19,ctcf,nan,nan,nan,nan,nan,nan,ctcf,nan,nan
4442,srx003795,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4443,srx003796,hg19,ctcf,nan,nan,nan,nan,nan,nan,ctcf,nan,nan
4444,srx003797,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4445,srx003798,hg19,ctcf,nan,nan,nan,nan,nan,nan,ctcf,nan,nan
4446,srx003799,hg19,stat1,nan,nan,nan,nan,nan,nan,stat1,nan,nan
4450,srx003842,hg19,ezh2,nan,nan,nan,nan,nan,nan,ezh2,nan,nan
4451,srx003843,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4452,srx003844,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
4453,srx003845,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4454,srx003846,hg19,ring1b,nan,nan,nan,nan,nan,nan,ring1b,nan,nan
4460,srx003937,hg19,eralpha,nan,nan,nan,nan,nan,nan,eralpha,nan,nan
4461,srx003938,hg19,eralpha,nan,nan,nan,nan,nan,nan,eralpha,nan,nan
4462,srx003939,hg19,eralpha,nan,nan,nan,nan,nan,nan,eralpha,nan,nan
4463,srx003940,hg19,eralpha,nan,nan,nan,nan,nan,nan,eralpha,nan,nan
4464,srx003941,hg19,rnapii,nan,nan,nan,nan,nan,nan,rnapii,nan,nan
4465,srx003942,hg19,rnapii,nan,nan,nan,nan,nan,nan,rnapii,nan,nan
4466,srx003943,hg19,rnapii,nan,nan,nan,nan,nan,nan,rnapii,nan,nan
4467,srx003944,hg19,rnapii,nan,nan,nan,nan,nan,nan,rnapii,nan,nan
4480,srx005144,hg19,h2az,nan,nan,nan,nan,nan,nan,h2az,nan,nan
4481,srx005145,hg19,h3k27me1,nan,nan,nan,nan,nan,nan,h3k27me1,nan,nan
4482,srx005146,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4483,srx005147,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
4484,srx005148,hg19,h3k4me1,nan,nan,nan,nan,nan,nan,h3k4me1,nan,nan
4485,srx005149,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4486,srx005150,hg19,h3k9me1,nan,nan,nan,nan,nan,nan,h3k9me1,nan,nan
4487,srx005151,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
4488,srx005152,hg19,h4k20me1,nan,nan,nan,nan,nan,nan,h4k20me1,nan,nan
4489,srx005153,hg19,polii,nan,nan,nan,nan,nan,nan,polii,nan,nan
4490,srx005154,hg19,h2az,nan,nan,nan,nan,nan,nan,h2az,nan,nan
4491,srx005155,hg19,h3k27me1,nan,nan,nan,nan,nan,nan,h3k27me1,nan,nan
4492,srx005156,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4493,srx005157,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
4494,srx005158,hg19,h3k4me1,nan,nan,nan,nan,nan,nan,h3k4me1,nan,nan
4495,srx005159,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4496,srx005160,hg19,h3k9me1,nan,nan,nan,nan,nan,nan,h3k9me1,nan,nan
4497,srx005161,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
4498,srx005162,hg19,h4k20me1,nan,nan,nan,nan,nan,nan,h4k20me1,nan,nan
4499,srx005163,hg19,polii,nan,nan,nan,nan,nan,nan,polii,nan,nan
4500,srx005383,hg19,chromatin ip against h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4501,srx005384,hg19,chromatin ip against h3k4me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4502,srx005385,hg19,chromatin ip against h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4503,srx005386,hg19,chromatin ip against h3k4me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4504,srx005387,hg19,chromatin ip against h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4505,srx005388,hg19,chromatin ip against h3k4me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4509,srx006757,hg19,genomic e25dna,nan,nan,nan,nan,nan,nan,nan,nan,nan
4525,srx007043,hg19,h2az,nan,nan,nan,nan,nan,nan,h2az,nan,nan
4526,srx007044,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4527,srx007045,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4528,srx007046,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
4529,srx007047,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4530,srx007048,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
4551,srx007141,hg19,anti h3k4me2,nan,nan,nan,nan,nan,nan,nan,nan,nan
4552,srx007142,hg19,anti h3k36me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4559,srx011571,hg19,oct4,nan,nan,nan,nan,nan,nan,oct4,nan,nan
4560,srx011572,hg19,oct4,nan,nan,nan,nan,nan,nan,oct4,nan,nan
4561,srx011573,hg19,klf4,nan,nan,nan,nan,nan,nan,klf4,nan,nan
4562,srx011574,hg19,myc,nan,nan,nan,nan,nan,nan,myc,nan,nan
4563,srx011575,hg19,tafii,nan,nan,nan,nan,nan,nan,tafii,nan,nan
4564,srx011576,hg19,p300,nan,nan,nan,nan,nan,nan,p300,nan,nan
4565,srx011577,hg19,tafii,nan,nan,nan,nan,nan,nan,tafii,nan,nan
4566,srx011616,hg19,sox2,nan,nan,nan,nan,nan,nan,sox2,nan,nan
4567,srx011617,hg19,nanog,nan,nan,nan,nan,nan,nan,nanog,nan,nan
4568,srx011618,hg19,nanog,nan,nan,nan,nan,nan,nan,nanog,nan,nan
4573,srx012392,hg19,ab4174,nan,nan,nan,nan,nan,nan,nan,nan,nan
4574,srx012393,hg19,ab8895,nan,nan,nan,nan,nan,nan,nan,nan,nan
4575,srx012394,hg19,ab8580,nan,nan,nan,nan,nan,nan,nan,nan,nan
4576,srx012395,hg19,ab8896,nan,nan,nan,nan,nan,nan,nan,nan,nan
4579,srx012398,hg19,ab9050,nan,nan,nan,nan,nan,nan,nan,nan,nan
4580,srx012399,hg19,ab3594,nan,nan,nan,nan,nan,nan,nan,nan,nan
4581,srx012400,hg19,ab9051,nan,nan,nan,nan,nan,nan,nan,nan,nan
4582,srx012401,hg19,ab5408,nan,nan,nan,nan,nan,nan,nan,nan,nan
4598,srx013323,hg19,znf263,nan,nan,nan,nan,nan,nan,nan,nan,nan
4599,srx013324,hg19,znf263,nan,nan,nan,nan,nan,nan,nan,nan,nan
4617,srx014750,hg19,pml,nan,nan,nan,nan,nan,nan,nan,nan,nan
4618,srx014751,hg19,rxr,nan,nan,nan,nan,nan,nan,nan,nan,nan
