,Experiment_ID,Genome,cell line
9341,ERX1025941,hg19,u2os
9342,ERX1030597,hg19,u2os
9351,ERX1035596,hg19,sudhl4
9352,ERX1035597,hg19,sudhl4
9353,ERX1035598,hg19,sudhl6
9354,ERX1035599,hg19,sudhl6
9357,ERX1055079,hg19,h9
9358,ERX1055080,hg19,h9
9359,ERX1055081,hg19,h9
9574,ERX1204720,hg19,a549
9575,ERX1204721,hg19,a549
9576,ERX1204722,hg19,a549
9577,ERX1204723,hg19,a549
9578,ERX1214186,hg19,hepg2
9579,ERX1214187,hg19,hepg2
9580,ERX1214188,hg19,huh7
9581,ERX1214189,hg19,huh7
9582,ERX1234993,hg19,hepg2
9600,ERX1264354,hg19,oe33
9601,ERX1264355,hg19,oe33
9837,ERX1767835,hg19,oe33
9838,ERX1767836,hg19,oe33
9846,ERX1790112,hg19,cal51
9849,ERX1790115,hg19,cal51
9851,ERX181464,hg19,saos
9852,ERX181465,hg19,saos
9853,ERX181466,hg19,saos
9854,ERX181467,hg19,saos
9855,ERX181468,hg19,saos
9856,ERX181469,hg19,saos
9872,ERX182653,hg19,cyt49
9873,ERX182662,hg19,cyt49
9874,ERX182664,hg19,cyt49
9875,ERX182667,hg19,cyt49
9876,ERX182669,hg19,cyt49
9877,ERX182671,hg19,cyt49
9878,ERX182672,hg19,cyt49
9879,ERX182673,hg19,cyt49
9880,ERX182674,hg19,cyt49
9881,ERX182679,hg19,cyt49
9882,ERX182680,hg19,cyt49
9883,ERX182682,hg19,cyt49
9884,ERX182683,hg19,cyt49
9885,ERX182684,hg19,cyt49
9886,ERX182685,hg19,cyt49
9887,ERX182689,hg19,cyt49
9888,ERX182691,hg19,cyt49
9889,ERX182693,hg19,cyt49
9890,ERX182695,hg19,cyt49
9891,ERX182697,hg19,cyt49
9892,ERX182698,hg19,cyt49
9893,ERX182699,hg19,cyt49
9894,ERX182700,hg19,cyt49
9895,ERX182701,hg19,cyt49
9900,ERX1831865,hg19,a549
9903,ERX1831868,hg19,u2os
9920,ERX195059,hg19,ociaml3
9921,ERX195060,hg19,ociaml3
9922,ERX195061,hg19,ociaml3
10025,ERX206136,hg19,gm12878
10032,ERX206177,hg19,gm12878
10034,ERX2067982,hg19,u2os
10038,ERX2067986,hg19,u2os
10041,ERX2067989,hg19,u2os
10042,ERX2067990,hg19,u2os
10043,ERX2067991,hg19,u2os
10044,ERX2067992,hg19,u2os
10045,ERX2067993,hg19,u2os
10049,ERX2067997,hg19,u2os
10050,ERX2067998,hg19,u2os
10051,ERX2067999,hg19,u2os
10053,ERX2068001,hg19,u2os
10054,ERX2068002,hg19,u2os
10055,ERX2068003,hg19,u2os
10057,ERX2068005,hg19,u2os
10058,ERX2068006,hg19,u2os
10059,ERX2068007,hg19,u2os
10060,ERX2068008,hg19,u2os
10061,ERX2068009,hg19,u2os
10062,ERX2068010,hg19,u2os
10064,ERX2068014,hg19,u2os
10066,ERX2068016,hg19,u2os
10067,ERX2068017,hg19,u2os
10069,ERX2068019,hg19,u2os
10071,ERX2068023,hg19,u2os
10255,ERX2166384,hg19,k562
10256,ERX2166385,hg19,k562
10257,ERX2166386,hg19,k562
10258,ERX2169171,hg19,k562
10400,ERX223313,hg19,h1_hesc
10401,ERX223314,hg19,h1_hesc
10402,ERX223315,hg19,h1_hesc
10403,ERX223316,hg19,h1_hesc
10404,ERX223317,hg19,h1_hesc
10405,ERX223318,hg19,h1_hesc
10406,ERX223319,hg19,h1_hesc
10503,ERX2277513,hg19,u2os
10504,ERX2277514,hg19,u2os
10505,ERX2277515,hg19,u2os
10506,ERX2277516,hg19,u2os
10507,ERX2413471,hg19,chp212
10517,ERX2413488,hg19,ngp
10563,ERX2552534,hg19,g144
10709,ERX2736462,hg19,blaer1
10710,ERX2736463,hg19,blaer1
10711,ERX2736464,hg19,blaer1
10714,ERX280625,hg19,lncap
10715,ERX280626,hg19,lncap
10718,ERX280629,hg19,lncap
10722,ERX280633,hg19,lncap
10724,ERX280635,hg19,lncap
11031,ERX2934389,hg19,hela
11036,ERX2934394,hg19,hela
11037,ERX2934395,hg19,hela
11038,ERX2934396,hg19,hela
11039,ERX2934397,hg19,hela
11040,ERX2934398,hg19,hela
11041,ERX2934399,hg19,hela
11047,ERX2934405,hg19,hela
11048,ERX2934406,hg19,hela
11049,ERX2934407,hg19,hela
11050,ERX2934408,hg19,hela
11051,ERX2934409,hg19,hela
11058,ERX2934416,hg19,hela
11059,ERX2934417,hg19,hela
11060,ERX2934418,hg19,hela
11061,ERX2934419,hg19,hela
11069,ERX2934427,hg19,hela
11070,ERX2934428,hg19,hela
11129,ERX302064,hg19,imsc3
11130,ERX302065,hg19,imsc3
11131,ERX302066,hg19,imsc3
11132,ERX302067,hg19,imsc3
11133,ERX302068,hg19,imsc3
11134,ERX302069,hg19,imsc3
11135,ERX302070,hg19,imsc3
11136,ERX302071,hg19,imsc3
11137,ERX302072,hg19,imsc3
11138,ERX302073,hg19,imsc3
11139,ERX302074,hg19,imsc3
11140,ERX302075,hg19,imsc3
11141,ERX302076,hg19,imsc3
11142,ERX302077,hg19,imsc3
11159,ERX309848,hg19,lncap
11165,ERX309854,hg19,lncap
11167,ERX309856,hg19,lncap
11178,ERX309868,hg19,lncap
11181,ERX309877,hg19,hela
11182,ERX309878,hg19,hela
11183,ERX309879,hg19,hela
11184,ERX309880,hg19,hela
11185,ERX309881,hg19,hela
11186,ERX309882,hg19,hela
11187,ERX309883,hg19,hela
11188,ERX309884,hg19,hela
11189,ERX311379,hg19,ly2
11190,ERX311380,hg19,ly2
11191,ERX311381,hg19,ly2
11192,ERX311382,hg19,ly2
11195,ERX311385,hg19,ly2
11229,ERX3216613,hg19,lymphoblastoid cell line
11232,ERX3216616,hg19,lymphoblastoid cell line
11237,ERX3216620,hg19,lymphoblastoid cell line
11244,ERX3216627,hg19,lymphoblastoid cell line
11249,ERX3216631,hg19,lymphoblastoid cell line
11252,ERX3216634,hg19,lymphoblastoid cell line
11259,ERX3216640,hg19,lymphoblastoid cell line
11260,ERX3216641,hg19,lymphoblastoid cell line
11261,ERX3216642,hg19,lymphoblastoid cell line
11263,ERX3216644,hg19,lymphoblastoid cell line
11264,ERX3216645,hg19,lymphoblastoid cell line
11271,ERX3216651,hg19,lymphoblastoid cell line
11272,ERX3216652,hg19,lymphoblastoid cell line
11273,ERX3216653,hg19,lymphoblastoid cell line
11274,ERX3216654,hg19,lymphoblastoid cell line
11275,ERX3216655,hg19,lymphoblastoid cell line
11276,ERX3216656,hg19,lymphoblastoid cell line
11277,ERX3216657,hg19,lymphoblastoid cell line
11282,ERX3216661,hg19,lymphoblastoid cell line
11283,ERX3216662,hg19,lymphoblastoid cell line
11284,ERX3216663,hg19,lymphoblastoid cell line
11285,ERX3216664,hg19,lymphoblastoid cell line
11286,ERX3216665,hg19,lymphoblastoid cell line
11287,ERX3216666,hg19,lymphoblastoid cell line
11288,ERX3216667,hg19,lymphoblastoid cell line
11289,ERX3216668,hg19,lymphoblastoid cell line
11294,ERX3216672,hg19,lymphoblastoid cell line
11295,ERX3216673,hg19,lymphoblastoid cell line
11296,ERX3216674,hg19,lymphoblastoid cell line
11297,ERX3216675,hg19,lymphoblastoid cell line
11298,ERX3216676,hg19,lymphoblastoid cell line
11299,ERX3216677,hg19,lymphoblastoid cell line
11300,ERX3216678,hg19,lymphoblastoid cell line
11301,ERX3216679,hg19,lymphoblastoid cell line
11306,ERX3216683,hg19,lymphoblastoid cell line
11307,ERX3216684,hg19,lymphoblastoid cell line
11308,ERX3216685,hg19,lymphoblastoid cell line
11309,ERX3216686,hg19,lymphoblastoid cell line
11310,ERX3216687,hg19,lymphoblastoid cell line
11311,ERX3216688,hg19,lymphoblastoid cell line
11312,ERX3216689,hg19,lymphoblastoid cell line
11314,ERX3216690,hg19,lymphoblastoid cell line
11327,ERX3216702,hg19,lymphoblastoid cell line
11328,ERX3216703,hg19,lymphoblastoid cell line
11339,ERX3216713,hg19,lymphoblastoid cell line
11360,ERX3216734,hg19,lymphoblastoid cell line
11364,ERX3216738,hg19,lymphoblastoid cell line
11368,ERX3216742,hg19,lymphoblastoid cell line
11369,ERX3216743,hg19,lymphoblastoid cell line
11371,ERX3216745,hg19,lymphoblastoid cell line
11376,ERX3216750,hg19,lymphoblastoid cell line
11377,ERX3216751,hg19,lymphoblastoid cell line
11379,ERX3216753,hg19,lymphoblastoid cell line
11380,ERX3216754,hg19,lymphoblastoid cell line
11386,ERX3216760,hg19,lymphoblastoid cell line
11387,ERX3216761,hg19,lymphoblastoid cell line
11388,ERX3216762,hg19,lymphoblastoid cell line
11389,ERX3216763,hg19,lymphoblastoid cell line
11390,ERX3216764,hg19,lymphoblastoid cell line
11391,ERX3216765,hg19,lymphoblastoid cell line
11397,ERX3216771,hg19,lymphoblastoid cell line
11398,ERX3216772,hg19,lymphoblastoid cell line
11400,ERX3216774,hg19,lymphoblastoid cell line
11401,ERX3216775,hg19,lymphoblastoid cell line
11402,ERX3216776,hg19,lymphoblastoid cell line
11408,ERX3216782,hg19,lymphoblastoid cell line
11409,ERX3216783,hg19,lymphoblastoid cell line
11411,ERX3216785,hg19,lymphoblastoid cell line
11412,ERX3216786,hg19,lymphoblastoid cell line
11413,ERX3216787,hg19,lymphoblastoid cell line
11419,ERX3216793,hg19,lymphoblastoid cell line
11420,ERX3216794,hg19,lymphoblastoid cell line
11421,ERX3216795,hg19,lymphoblastoid cell line
