,Experiment_ID,Genome,tissue
8821,DRX020604,hg19,cervix
8822,DRX020605,hg19,cervix
8823,DRX020606,hg19,cervix
8824,DRX020607,hg19,cervix
8825,DRX020608,hg19,cervix
8826,DRX020609,hg19,cervix
8827,DRX020610,hg19,cervix
8828,DRX020611,hg19,cervix
8829,DRX020612,hg19,cervix
8830,DRX020613,hg19,cervix
8831,DRX020614,hg19,cervix
8832,DRX020615,hg19,cervix
8833,DRX020616,hg19,cervix
9242,ERX008728,hg19,liver
9243,ERX008736,hg19,liver
9244,ERX008749,hg19,liver
9245,ERX008754,hg19,liver
9246,ERX008760,hg19,liver
9294,ERX025732,hg19,liver
13144,SRX016328,hg19,purified pancreatic islets
13145,SRX016329,hg19,purified pancreatic islets
13146,SRX016330,hg19,purified pancreatic islets
13466,SRX018991,hg19,epidermis
13467,SRX018992,hg19,epidermis
13468,SRX019001,hg19,cord blood
13469,SRX019002,hg19,cord blood
13470,SRX019003,hg19,cord blood
13471,SRX019004,hg19,cord blood
13472,SRX019005,hg19,cord blood
13558,SRX019786,hg19,epidermis
13798,SRX026701,hg19,pancreatic islets
13799,SRX026702,hg19,pancreatic islets
13800,SRX026703,hg19,pancreatic islets
13801,SRX026704,hg19,pancreatic islets
13802,SRX026705,hg19,pancreatic islets
13803,SRX026706,hg19,pancreatic islets
13804,SRX026707,hg19,pancreatic islets
13805,SRX026708,hg19,pancreatic islets
13806,SRX026709,hg19,pancreatic islets
13807,SRX026710,hg19,pancreatic islets
13808,SRX026711,hg19,pancreatic islets
13809,SRX026712,hg19,pancreatic islets
13810,SRX026713,hg19,pancreatic islets
13811,SRX026714,hg19,pancreatic islets
13812,SRX026715,hg19,pancreatic islets
13813,SRX026716,hg19,pancreatic islets
13814,SRX026717,hg19,pancreatic islets
13815,SRX026718,hg19,pancreatic islets
13816,SRX026719,hg19,pancreatic islets
13817,SRX026720,hg19,pancreatic islets
13818,SRX026721,hg19,pancreatic islets
13819,SRX026722,hg19,pancreatic islets
13820,SRX026723,hg19,pancreatic islets
13821,SRX026724,hg19,pancreatic islets
13822,SRX026725,hg19,pancreatic islets
14112,SRX036546,hg19,breast
14113,SRX036547,hg19,breast
14114,SRX036548,hg19,breast
14115,SRX036549,hg19,breast
14116,SRX036550,hg19,breast
14117,SRX036551,hg19,breast
14118,SRX036552,hg19,breast
14119,SRX036553,hg19,breast
14120,SRX036554,hg19,breast
14121,SRX036555,hg19,breast
14122,SRX036556,hg19,breast
14123,SRX036557,hg19,breast
14124,SRX036558,hg19,breast
14125,SRX036559,hg19,breast
15468,SRX084841,hg19,lung carcinoma
15481,SRX087842,hg19,bladder cancer
15482,SRX087843,hg19,bladder cancer
15483,SRX087844,hg19,bladder cancer
15484,SRX087845,hg19,bladder cancer
15485,SRX087846,hg19,normal bladder
15486,SRX087847,hg19,normal bladder
15709,SRX091824,hg19,breast
15710,SRX091825,hg19,breast
15711,SRX091826,hg19,breast
15712,SRX091827,hg19,breast
15713,SRX091828,hg19,breast
15714,SRX091829,hg19,breast
15715,SRX091830,hg19,breast
15716,SRX091831,hg19,breast
15717,SRX091832,hg19,breast
15718,SRX091995,hg19,whole blood
15719,SRX091996,hg19,whole blood
15720,SRX091997,hg19,whole blood
15721,SRX091998,hg19,whole blood
15722,SRX091999,hg19,whole blood
16063,SRX099628,hg19,heart
16064,SRX099629,hg19,heart
16065,SRX099630,hg19,heart
16125,SRX1002670,hg19,endometriosis epithelial cells
16126,SRX1002671,hg19,endometriosis epithelial cells
16127,SRX1002672,hg19,endometriosis epithelial cells
16128,SRX1002673,hg19,endometriosis epithelial cells
16129,SRX1002674,hg19,endometriosis epithelial cells
16130,SRX1002675,hg19,endometriosis epithelial cells
16131,SRX1002678,hg19,fallopian tube secretory epithelial cells
16132,SRX1002679,hg19,fallopian tube secretory epithelial cells
16134,SRX1002680,hg19,fallopian tube secretory epithelial cells
16135,SRX1002681,hg19,fallopian tube secretory epithelial cells
16136,SRX1002682,hg19,fallopian tube secretory epithelial cells
16137,SRX1002683,hg19,fallopian tube secretory epithelial cells
16138,SRX1002686,hg19,fallopian tube secretory epithelial cells
16139,SRX1002687,hg19,fallopian tube secretory epithelial cells
16140,SRX1002688,hg19,fallopian tube secretory epithelial cells
16141,SRX1002689,hg19,fallopian tube secretory epithelial cells
16143,SRX1002690,hg19,fallopian tube secretory epithelial cells
16144,SRX1002691,hg19,fallopian tube secretory epithelial cells
16145,SRX1002695,hg19,ovarian epithelial cells
16146,SRX1002696,hg19,ovarian epithelial cells
16147,SRX1002697,hg19,ovarian epithelial cells
16148,SRX1002698,hg19,ovarian epithelial cells
16149,SRX1002699,hg19,ovarian epithelial cells
16151,SRX1002705,hg19,ovarian epithelial cells
16152,SRX1002706,hg19,ovarian epithelial cells
16153,SRX1002707,hg19,ovarian epithelial cells
16154,SRX1002708,hg19,ovarian epithelial cells
16155,SRX1002709,hg19,ovarian epithelial cells
16157,SRX1002710,hg19,ovarian epithelial cells
16169,SRX1002825,hg19,liver
16170,SRX1002826,hg19,liver
16171,SRX1002827,hg19,liver
16172,SRX1002828,hg19,liver
16173,SRX1002829,hg19,liver
16174,SRX1002830,hg19,liver
16175,SRX1002831,hg19,liver
16176,SRX1002832,hg19,liver
16191,SRX1003359,hg19,skin
16192,SRX1003361,hg19,skin
16193,SRX1003362,hg19,peripheral blood
16194,SRX1003363,hg19,peripheral blood
16195,SRX1003364,hg19,peripheral blood
16196,SRX1003365,hg19,peripheral blood
16197,SRX1003366,hg19,peripheral blood
16198,SRX1003367,hg19,peripheral blood
16199,SRX1003368,hg19,peripheral blood
16607,SRX1012536,hg19,germinal center b cells
16608,SRX1012537,hg19,germinal center b cells
16609,SRX1012538,hg19,germinal center b cells
16610,SRX1012539,hg19,germinal center b cells
16612,SRX1012540,hg19,germinal center b cells
16613,SRX1012541,hg19,germinal center b cells
16741,SRX1012731,hg19,xenografts tumors in vivo
16742,SRX1012732,hg19,xenografts tumors in vivo
16743,SRX1012733,hg19,xenografts tumors in vivo
16744,SRX1012734,hg19,xenografts tumors in vivo
16745,SRX1012735,hg19,xenografts tumors in vivo
16746,SRX1012736,hg19,xenografts tumors in vivo
16747,SRX1012737,hg19,xenografts tumors in vivo
16748,SRX1012738,hg19,xenografts tumors in vivo
16749,SRX1012739,hg19,xenografts tumors in vivo
16750,SRX1012740,hg19,xenografts tumors in vivo
16751,SRX1012741,hg19,xenografts tumors in vivo
16752,SRX1012742,hg19,xenografts tumors in vivo
16753,SRX1012743,hg19,xenografts tumors in vivo
16754,SRX1012744,hg19,xenografts tumors in vivo
16755,SRX1012745,hg19,xenografts tumors in vivo
16756,SRX1012746,hg19,xenografts tumors in vivo
16757,SRX1012747,hg19,xenografts tumors in vivo
16758,SRX1012748,hg19,xenografts tumors in vivo
16759,SRX1012749,hg19,xenografts tumors in vivo
16760,SRX1012750,hg19,xenografts tumors in vivo
16761,SRX1012751,hg19,xenografts tumors in vivo
16762,SRX1012752,hg19,xenografts tumors in vivo
16763,SRX1012753,hg19,xenografts tumors in vivo
16764,SRX1012754,hg19,xenografts tumors in vivo
16765,SRX1012755,hg19,xenografts tumors in vivo
16766,SRX1012756,hg19,xenografts tumors in vivo
16767,SRX1012757,hg19,xenografts tumors in vivo
16768,SRX1012758,hg19,xenografts tumors in vivo
16769,SRX1012759,hg19,xenografts tumors in vivo
16770,SRX1012760,hg19,xenografts tumors in vivo
16771,SRX1012761,hg19,xenografts tumors in vivo
16772,SRX1012762,hg19,xenografts tumors in vivo
16773,SRX1012763,hg19,xenografts tumors in vivo
16774,SRX1012764,hg19,xenografts tumors in vivo
16844,SRX1016679,hg19,polymorphonuclear leukocytes
16845,SRX1016680,hg19,polymorphonuclear leukocytes
16846,SRX1016681,hg19,polymorphonuclear leukocytes
16847,SRX1016682,hg19,polymorphonuclear leukocytes
16848,SRX1016821,hg19,not applicable
16849,SRX1017391,hg19,not applicable
16850,SRX1017619,hg19,not applicable
16851,SRX1017622,hg19,not applicable
16852,SRX1017634,hg19,not applicable
16853,SRX1017635,hg19,not applicable
16936,SRX1027609,hg19,blood
16937,SRX1027610,hg19,blood
16938,SRX1027611,hg19,blood
16939,SRX1027612,hg19,blood
16940,SRX1027613,hg19,blood
16941,SRX1027614,hg19,blood
16942,SRX1027615,hg19,blood
16943,SRX1027616,hg19,blood
16944,SRX1027617,hg19,blood
16945,SRX1027618,hg19,blood
16946,SRX1027619,hg19,blood
16947,SRX1029462,hg19,rostral prefrontal cortex
16948,SRX1029463,hg19,rostral prefrontal cortex
16949,SRX1029464,hg19,rostral prefrontal cortex
16950,SRX1029465,hg19,rostral prefrontal cortex
16951,SRX1029466,hg19,rostral prefrontal cortex
16952,SRX1029467,hg19,rostral prefrontal cortex
16953,SRX1029468,hg19,rostral prefrontal cortex
17046,SRX1034067,hg19,peripheral blood
17047,SRX1034072,hg19,peripheral blood
17048,SRX1034074,hg19,peripheral blood
17049,SRX1034075,hg19,peripheral blood
17050,SRX1034076,hg19,peripheral blood
17051,SRX1034077,hg19,peripheral blood
17052,SRX1034078,hg19,peripheral blood
17053,SRX1034079,hg19,peripheral blood
17054,SRX1034080,hg19,peripheral blood
17060,SRX1034771,hg19,bone
17061,SRX1034772,hg19,bone
17062,SRX1034773,hg19,bone
17063,SRX1035063,hg19,lier
17064,SRX1035064,hg19,lier
17065,SRX1035065,hg19,lier
17066,SRX1035066,hg19,lier
17067,SRX1035067,hg19,lier
17068,SRX1035068,hg19,lier
17069,SRX1035069,hg19,lier
17070,SRX1035070,hg19,lier
17071,SRX1035071,hg19,lier
17072,SRX1035072,hg19,lier
17073,SRX1035073,hg19,lier
17074,SRX1035074,hg19,lier
17075,SRX1035075,hg19,lier
17076,SRX1035076,hg19,lier
17077,SRX1035077,hg19,lier
17078,SRX1035078,hg19,lier
17079,SRX1035079,hg19,lier
17080,SRX1035080,hg19,lier
17081,SRX1035081,hg19,lier
17082,SRX1035082,hg19,lier
17083,SRX1035083,hg19,lier
17084,SRX1035084,hg19,lier
17085,SRX1035085,hg19,lier
17086,SRX1035086,hg19,lier
17087,SRX1035087,hg19,lier
17088,SRX1035088,hg19,lier
17089,SRX1035089,hg19,lier
17090,SRX1035090,hg19,lier
17091,SRX1035091,hg19,lier
17140,SRX1037579,hg19,kidney
17141,SRX1037580,hg19,kidney
17142,SRX1037581,hg19,kidney
17143,SRX1037582,hg19,kidney
17144,SRX1037583,hg19,kidney
17145,SRX1037584,hg19,kidney
17146,SRX1037585,hg19,kidney
17147,SRX1037586,hg19,kidney
17148,SRX1037587,hg19,kidney
17149,SRX1037588,hg19,kidney
17150,SRX1037589,hg19,kidney
17151,SRX1037590,hg19,kidney
17168,SRX1041749,hg19,embryonic kidney
17169,SRX1041761,hg19,embryonic kidney
17170,SRX1041762,hg19,embryonic kidney
17171,SRX1041767,hg19,embryonic kidney
17172,SRX1041768,hg19,embryonic kidney
17173,SRX1041769,hg19,embryonic kidney
17226,SRX1047327,hg19,bone marrow
17227,SRX1047328,hg19,bone marrow
17228,SRX1047329,hg19,bone marrow
17229,SRX1047330,hg19,bone marrow
17230,SRX1047331,hg19,bone marrow
17231,SRX1047332,hg19,bone marrow
17232,SRX1047333,hg19,cord blood
17233,SRX1047334,hg19,cord blood
17234,SRX1047335,hg19,cord blood
17235,SRX1047336,hg19,bone marrow
17236,SRX1047337,hg19,bone marrow
17237,SRX1047338,hg19,bone marrow
17238,SRX1047339,hg19,bone marrow
17239,SRX1047340,hg19,bone marrow
17240,SRX1047341,hg19,bone marrow
17241,SRX1047342,hg19,cord blood
17242,SRX1047343,hg19,cord blood
17243,SRX1047344,hg19,cord blood
17244,SRX1047345,hg19,bone marrow
17245,SRX1047346,hg19,bone marrow
17246,SRX1047347,hg19,bone marrow
17247,SRX1047348,hg19,bone marrow
17248,SRX1047349,hg19,bone marrow
17249,SRX1047350,hg19,bone marrow
17250,SRX1047351,hg19,cord blood
17251,SRX1047353,hg19,cord blood
17252,SRX1047354,hg19,cord blood
17253,SRX1047355,hg19,bone marrow
17254,SRX1047356,hg19,bone marrow
17255,SRX1047357,hg19,bone marrow
17256,SRX1047358,hg19,bone marrow
17257,SRX1047359,hg19,bone marrow
17258,SRX1047360,hg19,bone marrow
17259,SRX1047361,hg19,cord blood
17260,SRX1047362,hg19,cord blood
17261,SRX1047363,hg19,cord blood
17262,SRX1047364,hg19,bone marrow
17263,SRX1047365,hg19,bone marrow
17264,SRX1047366,hg19,bone marrow
17265,SRX1047367,hg19,bone marrow
17266,SRX1047368,hg19,bone marrow
17267,SRX1047369,hg19,bone marrow
17268,SRX1047370,hg19,cord blood
17269,SRX1047371,hg19,cord blood
17270,SRX1047372,hg19,cord blood
17271,SRX1047373,hg19,bone marrow
17272,SRX1047374,hg19,bone marrow
17273,SRX1047375,hg19,bone marrow
17274,SRX1047376,hg19,bone marrow
17275,SRX1047377,hg19,bone marrow
17276,SRX1047378,hg19,bone marrow
17277,SRX1047379,hg19,cord blood
17278,SRX1047380,hg19,cord blood
17279,SRX1047381,hg19,cord blood
17280,SRX1047382,hg19,bone marrow
17281,SRX1047383,hg19,bone marrow
17282,SRX1047384,hg19,bone marrow
17283,SRX1047385,hg19,bone marrow
17284,SRX1047386,hg19,bone marrow
17285,SRX1047387,hg19,bone marrow
17286,SRX1047388,hg19,cord blood
17287,SRX1047389,hg19,cord blood
17288,SRX1047390,hg19,cord blood
17289,SRX1047391,hg19,bone marrow
17290,SRX1047392,hg19,bone marrow
17291,SRX1047393,hg19,bone marrow
17292,SRX1047394,hg19,bone marrow
17293,SRX1047395,hg19,bone marrow
17294,SRX1047396,hg19,bone marrow
17295,SRX1047397,hg19,cord blood
17296,SRX1047398,hg19,cord blood
17297,SRX1047399,hg19,cord blood
17555,SRX1067063,hg19,prostate tumor
17556,SRX1067064,hg19,prostate tumor
17629,SRX1073973,hg19,blood
17642,SRX1074795,hg19,blood
17643,SRX1074796,hg19,blood
17644,SRX1074797,hg19,blood
17645,SRX1074798,hg19,blood
17646,SRX1074810,hg19,lung
17651,SRX1077023,hg19,blood
17739,SRX1080066,hg19,peripheral blood
17740,SRX1080067,hg19,peripheral blood
17783,SRX1090890,hg19,dura mater metastasis of a cancer patient
17784,SRX1090891,hg19,dura mater metastasis of a cancer patient
17785,SRX1090892,hg19,dura mater metastasis of a cancer patient
17786,SRX1090893,hg19,dura mater metastasis of a cancer patient
17910,SRX109440,hg19,normal skin
17911,SRX109441,hg19,normal skin
17912,SRX109442,hg19,normal skin
17913,SRX109443,hg19,normal skin
17914,SRX109444,hg19,normal skin
17921,SRX109445,hg19,normal skin
17992,SRX1096823,hg19,cerebellum
17993,SRX1096824,hg19,occipital pole
17994,SRX1096825,hg19,precentral gyrus
17995,SRX1096826,hg19,putamen
17996,SRX1096827,hg19,white matter
